"fileid","artist","album","song","length","isrc","label","explicit","spotify_url","upc"
"512085e29f81f31ed7dd7e3e","Slant 6","Inzombia","G.f.s.","112","US35U0409401","Dischord Records","False","spotify:track:0tuIj2PeH9bfIw3qD84voq","0718751799424"
"4e1b1ff999968e6fc2000ce8","Pete Miles","www.FreshNewTracks.com","Be Gentle With Me","268","","","","",""
"4e151fba99968e7600002073","Dr. Philth","Svento-Beatz.com - Stay Tuned! Stay In The Hype!","Brules Rules","381","","","","",""
"4ddbc39d845daf626d00000e","Dylan Rhymes","Take Miami","Crunched - Original Mix","296","","","","",""
"4e00baf099968e03030003ff","Captain Panic!","Unload!","Unload! - Dubstep To Drumstep Mix","344","","","","",""
"5134364a0f812c66dc4db8e6","Flux Pavilion","Circus One presented by Doctor P and Flux Pavilion","Bass Cannon","310","GBQZQ1100314","Circus Records","False","spotify:track:1fc12F23NDBAN1Y75GEc1v","5055199503561"
"51206ed99f81f31ed7daac24","Client","Untitled Remix","Zerox (N Joi Radio Edit)","160","US57M0854003","Metropolis Records","False","spotify:track:6pohO08OkTD4K3EEevo1jS","782388054065"
"512055349f81f31ed7d757dc","Zedd","The Legend Of Zelda","The Legend of Zelda","371","DEHK91135901","Bazooka","False","spotify:track:6sZmgTsyiF9ObnEniMISIc","4260148494444"
"5120586a9f81f31ed7d7bf63","Acumen Nation","Acumen Nation Live at Double Door 08/06/2004","Revelations Per Minute","293","USA560703283","Acumen Nation","False","spotify:track:7aO3ryaTRDIi0LeVShTbNC","829410001984"
"512054d29f81f31ed7d7484f","Hallucinogen","In Dub mixed by Ott","Spiritual Antiseptic (Minty Fresh Confidence Mix)","497","USA2P0300410","Twisted Records Ltd","False","spotify:track:5FYbstjQkWvdWaSfyMaDxS","630883003326"
"512054a89f81f31ed7d74237","Future Sound Of London","Dead Cities","My Kingdom","347","GBAAA9600257","Virgin Records","False","spotify:track:7mB5AgvBYc6QasgzTxrugB","0724384206857"
"4ddfd04e845daf626d000776","Benga","Prevamped","26 Basslines (Elite Force Re-Fix)","348","","","","",""
"4e1534e799968e75e90021f2","Daladubz","Free Sewage","Bassball bat","276","","","","",""
"5120a2b79f81f31ed7e0b9d1","Cosmosis","Cosmosis - Retro Volume 1","Reality Check","440","USQY50911123","Holophonic Records","False","spotify:track:5mfbvfUfBYGnaS3ISaEnm0","881034360137"
"4de39a1d845daf03e50002d6","Infected Mushroom","I Wish [skazi Remix] CDS","I Wish [skazi Remix]","472","","","","",""
"5120586b9f81f31ed7d7bf91","Run Level Zero","Arctic Noise","Hey Mister","330","SETGM0700309","Memento Materia","False","spotify:track:5PRlIKH3zmEYKfjMYE7GUa","7392880500286"
"512054cc9f81f31ed7d7472e","The Orb","15 x 15 - Celebrating 15 Years of The Big Chill Label","A Huge Ever Growing Pulsating Brain That Rules from the Centre of the Ultraworld","491","GBAAN9100065","Big Chill Label","False","spotify:track:458TuZ7hz8ty8UjZoWzafw","844185078894"
"512069bf9f81f31ed7da0a9a","Protoculture","Circadians","Driven","488","USA2P0605672","Nano Records","False","spotify:track:27zCRgXRYQeElgxb9grEbw","6009656490863"
"4e0216dd99968e712a000491","Helicopter Showdown","","Dramatron","420","","","","",""
"4e0210a199968e712e00042b","GENETIX","Squid Attack","Squid Attack","278","","","","spotify:track:1a5JIjzA48UO89ELZGONEp",""
"512058699f81f31ed7d7bf5a","16Volt","Beating Dead Horses","We Disintegrate","182","US57M1170608","Metropolis Records","False","spotify:track:0Fysg03agctMwhOu7dzviz","782388070669"
"512051929f81f31ed7d6ccd6","Ellie Goulding","Lights","Lights (Bassnectar Remix)","277","GBUM71101899","Interscope","False","spotify:track:3nPpCn5nYTMg0ajmzv57Jq","00602527746463"
"512055279f81f31ed7d755d3","Blame","Star (Doctor P Remixes)","Star (Doctor P Instrumental Remix)","277","GBDLM1090276","New State Music","False","spotify:track:22cp3UwORQIHtYPfFOivLl","885012008288"
"512056ad9f81f31ed7d78807","DJ Tatana","A Tribute To Trance","Carte Blanche","472","CH3130600101","Sirup Records","False","spotify:track:0Ainul0AOUfPQDR1dPSnMT","881226117129"
"512054a49f81f31ed7d74165","Autechre","Tri Repetae","C/Pach","279","GBBPW9500183","Warp Records","False","spotify:track:2GpAHcnQig6GvqDa9IPmgD","0801061003838"
"4ddfd0fe845daf626d000777","Noisia","www.eliteforcemusic.com","Alpha Centauri (Elite Force Revamp)","348","","","","",""
"521225369f81f307766c937f","Above & Beyond","No One On Earth","No One On Earth (Gabriel & Dresden Remix ) [feat. Zoe Johnston]","560","USUS10410060","Ultra Records, LLC","False","spotify:track:7sNJa6wL6aKDE1kVXnViuz","617465122750"
"4ddd362d845daf511400012d","Deadmau5, Elite Force","Pre:Vamped","Deadmau5 - Ghosts n Stuff (Elite Force Re-Fix) (DJ Version)","439","","","","",""
"4ddfcfd9845daf626d000773","AK1200","Drowning","Drowning - Curtis B Remix","286","","","","",""
"512053659f81f31ed7d70de1","Juno Reactor","Bible Of Dreams","Conga Fury","486","US57M0855402","Metropolis Records","False","spotify:track:7AsTQd5CqLTQoMJ35ex0XC","782388055468"
"4ddbc4bc845daf626d000015","Fox 5, Lazy Jonez","Bing Chi Bang","Bing Chi Bang - Lazy Jones Remix","399","","","","",""
"512052219f81f31ed7d6dff1","Operation Ivy","Operation Ivy","Bombshell","64","USHEL0707107","Epitaph","False","spotify:track:0TrB8SKgeAitcl8eIgHR3I","045778689361"
"526986859f81f371f75a1c1f","BMK","Swedish Columbia 1: The First Two Years [2008-2009]","We Don't Care","417","USN491010045","Swedish Columbia","False","","708874006622"
"5120554a9f81f31ed7d75b37","16Volt","Beating Dead Horses","Beating Dead Horses","226","US57M1170601","Metropolis Records","False","spotify:track:1H2ve5imrYDeqyIVlUVUhn","782388070669"
"521225309f81f307766c92fb","Above & Beyond","Alone Tonight","Alone Tonight (Ronski Speed Remix)","456","GBEWA0600007","Ultra Records, LLC","False","","617465140754"
"512067169f81f31ed7d9ac26","Hallucinogen","Raja Ram's Stash Bag vol 2","Gamma Goblins (GMS Remix)","418","GBKVK0500143","Tip World","False","spotify:track:2UFNWz8QidXqypogrZgzVw","881034024534"
"512066f29f81f31ed7d9a69e","Alien Project","Aztechno Dream","Crystal Skulls (Dance Mix)","520","GBKVK0500069","Tip World","False","spotify:track:46PbXq1BeQ4Dp7H9EBrQq4","881034024497"
"512066fd9f81f31ed7d9a86b","Younger Brother","The Finger EP","The Finger (Riktam & Bansi Remix)","544","USQY51011429","Starbox","False","spotify:track:6oQyITzx5qlQiMneUoe6FM","881034478009"
"4dde9283845daf50fb000342","Younger Brother","Unusual Suspects","The Finger","483","","","","spotify:track:6oQyITzx5qlQiMneUoe6FM",""
"512051559f81f31ed7d6c4e5","Chrispy","Predator","Predator","360","DEBL60969167","2 Much Bass Records","False","spotify:track:425GL45YZjF2kOWXTcKOkh","3661585500858"
"512051899f81f31ed7d6cba5","Skrillex","Reptile's Theme","Reptile's Theme","237","USNLR1000565","WaterTower Music / Teenage Riot Records","False","spotify:track:76NjOf94Yx5Vbg4MX8KGco","00044003139305"
"512054119f81f31ed7d729bc","Blame feat. Fuda Guy & Camilla Marie","Star (Doctor P Remixes)","Star (Doctor P Remix)","276","GBDLM1090275","New State Music","False","spotify:track:50UW8KSME0dWKz2wwFftdL","885012008288"
"4dfb38e799968e67310001d7","The Cataracs","ThisSongIsSick.com","Bass Down Low (feat. Dev) (Proper Villains Remix)","199","","","","",""
"4ddd861a845daf5114000224","Ry Legit","www.freshnewtracks.com","The Sweety Man","183","","","","spotify:track:5n1gSp613RR77ZIShdNt7v",""
"5120514e9f81f31ed7d6c425","La Roux","In For The Kill","In For The Kill (Skrillex Remix)","311","GBUM71027451","INTERSCOPE/CHERRYTREE","False","spotify:track:1oS15s7e3o4fJxpg9UR9ns","00602527519722"
"4dfa33f499968e74ef000203","Omnitica","Xenosphere","Dubwoofer Substep","285","","","","spotify:track:2QNmH8xLdi7hQu6YkpVgwL",""
"4dd9ef25e8a6c44deb00004d","Flux Pavilion ","www.TheBurningEar.com","Bass Cannon (Filth Collins Bootleg)","276","","","","",""
"4de2849f845daf03e50001dc","Excision, Downlink","[ROTD041]Existence EP","Blue Steel","232","","","","spotify:track:5m68AfdNSNNC4quow2BPaw",""
"512071459f81f31ed7db039e","Xilent","Spectre EP","Multishapes","328","GBMKA1180022","Audio Porn","False","spotify:track:3Pa99nGNKu1UIxDvYqBxXt","5060193662800"
"512065f29f81f31ed7d98436","Destroid","Loudspeaker","Bird of Prey","334","DEL360700487","COP International","True","spotify:track:5AeXupVNJBxyTBaSrN69OT","703513010725"
"4e08debe99968e6f110005b2","Elite Force, Excision, Reso, Skism","www.eliteforcemusic.com","The Boomstick Onslaught (Elite Force Revamp)","298","","","","",""
"4e03965e99968e0f6900070a","kHoff","","White Nitro","239","","","","",""
"5120526c9f81f31ed7d6e962","Misanthrop","Sidereal / Latitude","Latitude","309","DEQ121112314","Neosignal","False","spotify:track:30mS5sd70dTOYYF3oORPJf","4018939197612"
"4e1a121999968e6fbf0002b0","Omnitica","","Yo! Ho! And a bottle of Bass!","375","","","","",""
"4ddab835e8a6c461e900010d","Feed Me","Feed Me's Big Adventure","Blood Red","351","","","","spotify:track:7usbPC0r2Scsv768oP5Uma",""
"5120b2259f81f31ed7e26a37","Blink-182","blink-182 (explicit version)","Stockholm Syndrome Interlude","101","USMC10346393","Geffen","False","spotify:track:3RRACw60DXsN7Feum4TKz9","00075021012912"
"5120a6a29f81f31ed7e12ad1","J Majik & Wickaman","Feel About You","Feel About You","278","GB7AN0900005","Mosquito Recordings","False","spotify:track:0yZnLmAbXAufPUnKf0nhA8","0666017216461"
"4e26be2f99968e6388004b5d","Duck Sauce","Big Bad Wolf","Big Bad Wolf (Original Mix)","286","GBSXS1100137","Big Beat Records","","spotify:track:2ykj7H8i8S8pOwwHHxVgGU",""
"5120bb729f81f31ed7e362b5","Bare Noize","Dubstep Onslaught","Filthy Lummox (Original Mix)","331","GBYCY0900432","Z Audio","False","spotify:track:7w2i9FkPoUAFXCr1KB3OvS","5099908256157"
"4e0f473299968e51d700104a","Omega","uDubstep.com","Suspension of Disbelief - Original Mix","253","","","","",""
"4e1b38c599968e6fb6000dad","Reid Speed, FS","Bass Monster","Bass Monster - Original Mix","268","","","","spotify:track:5OFlyRH2qpL3Mdqb8PRJou",""
"512054249f81f31ed7d72ca8","Spencer & Hill","Less Go!","Less Go! (Porter Robinson Remix)","424","DEHK91026802","Bazooka","False","spotify:track:5lkFmv46Q7qjAr3e6Sg3io","4260148493317"
"51313e46cf683a0836569cd4","Rusko","Hold On EP","Hold On (Sub Focus Remix)","267","USZ4V1000170","Downtown Records","False","spotify:track:5Muk08hnvAKtf0MDHqIq5j","886443711938"
"4e2a1cb699968e638200a878","Eastmann","Spell Check EP","Spell Check - Schroff Remix","350","","","","spotify:track:3uAxXiMBBxauh4LerhwdJr",""
"5120524a9f81f31ed7d6e5f3","Emalkay","Eclipse","When I Look At You","272","GBZCL0800083","Dub Police Records","False","spotify:track:3gB0inHWfzACc0wjolOdpa","5055317212962"
"4e1534fe99968e75f60021c3","Daladubz","Free sewage","Warsaw butcher","317","","","","",""
"4e1b1f6699968e6fbf000ca9","Martin Solveig","uDubstep.com","Hello (Dead Battery Remix)","374","","","","spotify:track:5Eh7DOBlMBAoDbki0gBBtq",""
"4e06753b99968e49e4000dca","Robokop","","Happy days","226","","","","spotify:track:2cKY2DKM0YZQshzRjCm2Ty",""
