"fileid","artist","album","song","length","isrc","label","explicit","spotify_url","upc"
"4f4054ebc7d26c4b03003193","Norwegian Recycling","Norwegian Recycling","Miracles [Bruno Mars vs. Michael Jackson vs. Gnarls Barkley vs. B.O.B. vs. Survivor vs. many more]","216","","","","",""
"4f9202a2cf683a2e45000a1b","DeadMau5","","The Veldt","521","","","","spotify:track:1vQ92830bxiBcIhpUj4qrn",""
"4f540c98c7d26c4ad5007efd","Fella","Awesome.","Can't Get It","319","","","","",""
"4e10ff6699968e51d4001ec4","5 & A Dime + Kap Slap","","OMG We R The Dirty Bit","236","","","","",""
"50fde0f5cf683a52c27156d4","Fat Superman","","Icefest Live Mix","572","","","","",""
"50da4fb1cf683a1ae635b3f8","Ricky Cervantes","Super Mario 64 Mixtape","Dire Dire Desire","214","","","","",""
"50aad412cf683a6ed4b3448c","PennWallace","","Carried Away Touchin' (Passion Pit X 3OH!3)","229","","","","",""
"51105713cf683a2fa34108ef","Porter Robinson x Dillon Francis x Oliver x Kennedy x Kanye West","FBGM","Workout's On My Mind ( Brovanni Bootleg )","227","","","","",""
"4edc25ed99968e3cc700a019","TeeTs","FindNewJams.com","Dirty Sexy Strobes (Deadmau5 X Special Features X Wynter Gordon X 50 Cent X Dev X The Cataracs)","248","","","","",""
"50d62b27cf683a1addbef178","Tr4gik","","Strobe Lights and Raise Your Weapon (DJ Backslash 10K Celebration mix)","590","","","","",""
"510db0b6cf683a2fb4f1972c","DJ Sabri","","Picture To Burn - Taylor Swift VS. Kayne West","240","","","","",""
"512052769f81f31ed7d6eaa2","LCD Soundsystem","45:33","45:33","2765","US4GE0700081","Parlophone UK","False","spotify:track:4jfJb4I62fGIRrhbClYcHG","5099950814152"
"4eeea90299968e2c7500a0bd","Krewella","","Killin it","207","","","","spotify:track:3rHFo3c176QQnZ3Ucdbp21",""
"4eaefa6399968e0618002f15","The White Panda","","G.O.O.D.G.I.R.L.S.","202","","","","spotify:track:16Jx2zHajR4iOd1fv3PZbS",""
"4f7f57bac7d26c795f000b25","Mashup-Germany","Back to the future","Learn to be alright","181","","","","",""
"4f961326cf683a2e2b00199e","Super Mash Bros.","Mile(y) High Club","Don't Bro Me If You Don't Know Me","160","","","","",""
"4e66741899968e0d16017f5a","DJ i6","Structure and Flow (Structure)","Tonight (LMFAO x Enrique Iglesias x Ne-Yo x The Cataracs x Britney Spears x Beyonce x Mike Posner x NY All-Stars)","262","","","","",""
"4ffe1afdcf683a5c12000f02","Zedd","","Spectrum (3LAU Remix Preview)","120","","","","",""
"5121ec6e9f81f31ed7fce167","One Direction","Live While We're Young","Live While We're Young","200","GBHMU1200210","Syco Music UK","False","spotify:track:6aGjEZ7kq3YXgD0EDt80O5","886443625815"
"4fd78be8cf683a569a00158b","Mako","","When The Lights Go Down","354","","","","spotify:track:39kFOWqkYzw4uxaiVThVYI",""
"4f26f428c7d26c70ab00355d","Siri","","Now I Understand (The Moon, The Stars, The Sun)","185","","","","",""
"512054439f81f31ed7d73235","Paper Diamond","Levitate","Levitate","200","None","Tunecore","None","","None"
"4f6275c3c7d26c4d30002711","N3AKO","","Skyward Whiskers (Xilent x Feed Me x Gemini)","304","","","","",""
"4ed536b099968e3cb6007284","Mitch-Mash","WRECKED 10K Celebration Mixtape","Acid Rappack (WRECKED 10K Celebration Mashup)","306","","","","",""
"51212a189f81f31ed7ede873","Nero","Me And You","Promises (Skrillex & Nero Remix)","269","GBUM71105613","Interscope","False","spotify:track:4tBm1UssZthEdY0JvJBVHe","00602527910987"
"50a7ca78cf683a6ee451ef81","MitiS","","Endeavors","220","","","","spotify:track:7guLELDZkib65M4na9ZPIM",""
"5044e19ecf683a633e004733","Sound Remedy","Sound Remedy","Noosa - Walk On By (Sound Remedy Remix)","444","","","","",""
"5109ebb9cf683a1bea0cbf7f","????K??","","??? ??? ????  ???? ???'? ??? ??? ???? ??? ?'???","441","","","","",""
"5120593e9f81f31ed7d7d6e6","Garfunkel & Oates","All Over Your Face","Sex With Ducks","118","QMZ581100106","No One Buys Records","False","spotify:track:3I2CJ9qfX1lj77CdBmqqMv","885767506572"
